,Fold 1,,,,,Fold 2,,,,,Fold 3,,,,,Fold 4,,,,,4-fold average,,
Formation,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,n_train,n_holdout,MAE,RMSE,Std,MAE,RMSE,Std
SSXS,198,66,7.6,16.10944269,15.60186283,202,62,15.3,32.74083828,31.30433559,198,66,100,145.7972027,140.5696149,197,67,11.9,21.67751424,21.66291877,33.7,54.08124948,52.28468302
SSXbase,280,71,12.7,20.9347396,20.82200945,260,91,11.8,25.29533386,24.88806968,264,87,21.8,29.52769734,29.40163621,254,97,14.7,38.57405796,38.14593209,15.25,28.58295719,28.31441186
SHNNu,707,209,6.6,10.25435595,10.16448632,720,196,7.8,20.0784602,20.0657568,682,234,9.3,26.84633116,26.83557105,707,209,9.1,19.03183497,19.02058743,8.2,19.05274557,19.0216004
SHNNl,707,213,6.4,10.78685645,10.77714421,718,202,8.4,20.98950854,20.8893614,704,216,8.7,26.522713,26.49541786,696,224,9,24.03933374,24.03864002,8.125,20.58460293,20.55014087
SHNNbs,517,152,5.8,12.10036563,11.99047526,512,157,9.4,25.5151789,25.44877223,499,170,9.8,30.53872618,30.35338451,496,173,9.5,28.3777098,28.28395795,8.625,24.13299513,24.01914749
StBR,72,28,6.6,8.814513335,8.813990573,75,25,8.8,11.16153458,11.15494553,78,22,15.8,22.08139887,20.36762128,75,25,13,22.3639018,20.62691742,11.05,16.10533715,15.2408687
StFT,73,27,11.3,20.84370061,20.83823955,75,25,16.8,23.15290549,23.05865181,73,27,12.1,18.63269927,18.61848292,79,21,11.2,17.34406186,16.50555623,12.85,19.99334181,19.75523263
StGD,77,13,12.1,17.57877724,17.37003839,58,32,15.5,25.93315823,25.74402789,60,30,7.5,9.563587052,9.544054004,75,15,14.3,23.95319842,22.5088971,12.35,19.25718023,18.79175435
StAM,79,29,11.2,15.23311938,12.79003787,80,28,16.4,33.52539715,32.18056466,83,25,14,21.2264775,21.09843272,82,26,10.9,22.96089597,21.74712154,13.125,23.2364725,21.9540392
NBRRws,141,48,11.5,15.70076713,15.70056852,139,50,17.7,28.16950379,27.99854143,136,53,25.6,44.69170684,44.01932975,152,37,21.2,32.08996405,31.98068563,19,30.16298545,29.92478133
NBRRsg,140,48,13.6,21.05310919,21.02904669,147,41,14.1,23.70785662,23.30186818,139,49,19,39.37249928,38.89458373,138,50,17.3,29.32838517,28.55398456,16,28.36546256,27.94487079
CRLL,193,75,14.2,21.55007017,21.52779482,205,63,18.7,26.87576098,26.86953709,204,64,25.5,72.53875691,71.75690554,205,63,16,21.22130458,21.21424917,18.6,35.54647316,35.34212165
F1WC,245,87,15.2,19.51030474,19.48199832,235,97,17.2,21.50421134,21.46613502,256,76,33.6,152.0333079,151.5064935,260,72,16.1,22.69548117,22.67813153,20.525,53.93582628,53.78318959
F1WCBench1Base,70,25,18,23.82540831,22.55175247,74,21,21,29.3902094,27.81277459,71,24,82.8,321.0394355,314.7547216,71,24,19.9,26.58246491,25.49899426,35.425,100.2093795,97.65456073
F1WCBench2Top,66,22,27.7,32.77494174,31.92991497,77,11,17.7,26.95047179,25.47471166,65,23,21.9,28.39709919,27.34135061,56,32,25.8,33.3201146,32.03495824,23.275,30.36065683,29.19523387
F1WCBench2Base,52,21,12.8,17.63662244,17.41003612,53,20,10.9,15.71511715,15.27037127,56,17,16,25.98469991,24.67830451,58,15,8.9,12.25179835,12.23472644,12.15,17.89705947,17.39835958
F1WCBench3Top,56,18,13.6,19.8690964,19.50749406,54,20,8.5,13.88808281,13.15726608,60,14,8.2,10.84439587,10.51977784,52,22,12.3,23.18936687,22.5182383,10.65,16.94773549,16.42569407
F1WCbase,251,81,43.7,54.88551441,54.58042253,239,93,42.9,53.5678325,52.76962041,264,68,48.5,57.29802396,57.2852665,242,90,47.3,57.58309027,56.87972648,45.6,55.83361528,55.37875898
B1,205,71,11.9,16.04311337,16.03257921,211,65,11.8,19.27092218,19.19983895,198,78,14.1,18.5605479,18.54135794,215,61,12.6,16.88079048,16.60819589,12.6,17.68884348,17.595493
F2WC,239,85,18.9,29.78706272,29.7832448,246,78,19.2,39.30164485,38.88826846,247,77,14.9,21.73044434,20.82679553,243,81,17.6,24.76336086,24.69575397,17.65,28.89562819,28.54851569
F2WCbase,218,71,13.9,18.74086174,18.48571895,214,75,21,36.27950493,36.00851206,220,69,10.9,14.70490745,14.2766082,219,70,13.2,18.66758188,17.82035268,14.75,22.098214,21.64779797
F3WC,37,17,10,14.73315244,13.7388572,42,12,23.6,33.64138935,33.02457564,43,11,13.7,16.67191635,16.46173309,40,14,28,39.88657067,39.60005095,18.825,26.2332572,25.70630422
F3WCbase,34,10,11.5,16.67154126,15.95816698,31,13,7.8,11.64473219,11.46958003,35,9,11,15.6527171,15.6223935,32,12,13.1,20.2079731,16.85401708,10.85,16.04424091,14.9760394
MWRY,38,15,19.6,30.41687656,28.58877309,41,12,26.4,37.24578604,37.24570084,37,16,17.2,29.04548788,27.64078101,43,10,75.6,185.060867,174.0276036,34.7,70.44225436,66.87571463
MDDY,23,8,8.5,12.30854426,11.83630977,23,8,12.1,19.44291595,18.95091105,23,8,6.9,9.756760092,7.796487396,24,7,41,51.92733614,49.22778082,17.125,23.35888911,21.95287226
THRM,19,10,11.6,15.6703544,15.46872613,23,6,28.6,37.41467426,35.01399831,24,5,7.2,11.48059574,10.95223417,21,8,19.1,21.60115298,20.97348218,16.625,21.54169435,20.6021102
DKOT,34,12,16.2,22.52261845,22.07823012,33,13,21.1,32.51449899,32.51449637,34,12,10.7,12.52537062,11.8776922,37,9,33.2,42.66479039,40.38534397,20.3,27.55681961,26.71394067
LKOT,24,7,11.2,14.06847231,13.80255271,23,8,13.8,20.81971322,20.67956995,27,4,21.2,24.59659622,16.52219366,19,12,30,38.18566493,38.16341722,19.05,24.41761167,22.29193339
MRSN,22,9,18.4,21.82196121,21.41148885,26,5,36.9,49.58767946,37.36744583,23,8,18.8,21.99823973,21.72508036,22,9,44.8,59.45400598,47.63298677,29.725,38.21547159,32.03425045
SNDCu,4,3,65.8,72.01076953,29.24351572,4,3,185.4,269.878433,240.1713913,7,0,,,,6,1,19.6,19.55221801,,90.26666667,120.4804735,134.7074535
CNSP,1,4,35.9,42.94516689,42.93114873,4,1,25.4,25.41636739,,5,0,,,,5,0,,,,30.65,34.18076714,42.93114873
CRMT,13,5,16.5,19.655822,17.84007299,13,5,3.5,4.590868657,3.658696935,13,5,21.7,23.88184956,9.869515559,15,3,25.6,37.03526742,26.74978927,16.825,21.29095191,14.52951869
ALCV,9,6,17.8,24.07039843,23.76548176,12,3,22.1,27.52366466,18.50764382,11,4,15.7,19.59378789,14.75805514,13,2,11.6,12.93692337,5.657595333,16.8,21.03119359,15.67219401
RDPK,12,3,10.1,12.04223813,12.03488822,11,4,20.5,25.49500413,18.57822702,10,5,24,27.31421869,27.19523797,12,3,11,13.90318661,9.175554908,16.4,19.68866189,16.74597703
ERVY,2,0,,,,2,0,,,,2,0,,,,2,0,,,,,,
FRLL,2,1,57.5,57.46340971,,3,0,,,,2,1,7.3,7.266922792,,2,1,40,39.9783385,,34.93333333,34.90289033,
GLND,1,0,,,,1,0,,,,1,0,,,,1,0,,,,,,
MNKT,19,17,9.6,12.27839836,11.49969808,28,8,6.2,7.659567373,7.609880345,31,5,25.1,38.68075737,31.12397604,30,6,19,25.74488966,25.23703035,14.975,21.09090319,18.8676462
OPCH,24,10,7.3,8.323065625,7.914437458,25,9,2.9,4.236359778,4.118311713,29,5,21,36.12863809,30.2450985,24,10,18.1,25.17237258,23.03615565,12.325,18.46510902,16.32850083
A Sand,25,8,15.6,28.42583827,25.34476474,27,6,4.4,4.741901971,4.563051884,21,12,10,13.62348925,12.61581061,26,7,10,13.22738802,11.24645746,10,15.00465438,13.44252117
B Dolo,26,9,14.2,26.27250241,26.01238041,22,13,9.3,10.94032257,10.88568008,31,4,11.6,14.93764276,14.70376889,26,9,8.2,13.26568472,12.79030011,10.825,16.35403812,16.09803237
B Sand,24,11,13.9,24.41016901,22.76350887,30,5,7.4,8.396537683,8.254948246,28,7,7.4,8.963942814,8.956744883,23,12,8.5,16.15595286,15.70162641,9.3,14.48165059,13.9192071
C1 Dolo,27,5,5.1,6.323381633,6.118976531,22,10,6,6.827598904,6.422217648,23,9,9.7,11.68410753,11.61329423,24,8,7.8,9.447918342,8.09833665,7.15,8.570751602,8.063206264
C1 Sand,2,0,,,,2,0,,,,1,1,156.7,156.7004211,,1,1,143.6,143.5541733,,150.15,150.1272972,
C2 Dolo,2,0,,,,1,1,119.9,119.9242439,,1,1,152.6,152.6440993,,2,0,,,,136.25,136.2841716,
C2 Sand,5,0,,,,4,1,7.9,7.911915297,,4,1,3.4,3.443851069,,2,3,99.2,108.8585099,86.63903592,36.83333333,40.07142541,86.63903592
C3 Dolo,3,1,0.5,0.486323084,,2,2,16.3,16.32956268,0.643092959,4,0,,,,3,1,137.9,137.9283135,,51.56666667,51.58139974,0.643092959
C3 Sand,4,1,5.9,5.851236172,,5,0,,,,2,3,4.7,6.158212871,3.96744589,4,1,21.2,21.23906449,,10.6,11.08283784,3.96744589
C4 Dolo,5,0,,,,3,2,74.6,78.32961441,23.73257446,2,3,12.8,12.8370697,1.021010484,5,0,,,,43.7,45.58334206,12.37679247
C4 Sand,4,1,1.8,1.770884732,,4,1,0.7,0.739462589,,3,2,3.7,4.190640706,3.678239193,4,1,5.9,5.938194256,,3.025,3.159795571,3.678239193
D Dolo,2,0,,,,1,1,129,129.0183182,,1,1,185,185.0413264,,2,0,,,,157,157.0298223,
D Sand,1,0,,,,1,0,,,,1,0,,,,1,0,,,,,,
E Dolo,1,0,,,,1,0,,,,1,0,,,,1,0,,,,,,
AMSD,1,0,,,,1,0,,,,1,0,,,,1,0,,,,,,
MDSN,1,0,,,,1,0,,,,1,0,,,,1,0,,,,,,
PC,1,0,,,,1,0,,,,1,0,,,,1,0,,,,,,
